fung,AI,isolate,code,DPI,rate_ppm,rep,length_mm-5,width_mm
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,100,1,0.9,0.98
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,100,2,1.86,0.84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,100,3,0.41,0.91
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,500,1,5.47,1.89
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,500,2,3.3,2.32
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,500,3,4.77,2.24
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1000,1,5.22,3.43
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1000,2,4.51,4.35
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1000,3,1.26,1.62
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0,1,79,79
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0,2,79,79
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0,3,79,79
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.01,1,79,79
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.01,2,79,79
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.01,3,79,79
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.1,1,79,79
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.1,2,79,79
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.1,3,77.01,79
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1,1,59.72,61.58
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1,2,55.26,53.04
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1,3,44.54,44.46
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,10,1,37.61,35.76
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,10,2,30.5,30.16
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,10,3,30.83,30.76
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,100,1,18.25,18.35
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,100,2,18.46,18.27
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,100,3,17.12,19.52
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,500,1,18.88,18.22
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,500,2,15.67,14.07
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,500,3,16.48,15.24
